"#";"Iniciar";"Localização";"Descrição"
"41";"25/08/2023 08:30";"=HYPERLINK(""http://maps.google.com/?q=-26,5982393,-51,1041628"",""Calmon (Calmon)"")";"Ligado"
"42";"25/08/2023 08:30";"=HYPERLINK(""http://maps.google.com/?q=-26,5982393,-51,1041628"",""Calmon (Calmon)"")";"Chave Ligada"
"43";"25/08/2023 08:30";"=HYPERLINK(""http://maps.google.com/?q=-26,5982393,-51,1041628"",""Calmon (Calmon)"")";"Arranque do Motor"
"44";"25/08/2023 08:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5982393,-51,1041628"",""Calmon (Calmon)"")";"Paragem do Motor"
"45";"25/08/2023 08:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5982393,-51,1041628"",""Calmon (Calmon)"")";"Chave Desligada"
"46";"25/08/2023 08:32";"=HYPERLINK(""http://maps.google.com/?q=-26,5982548,-51,10416"",""Calmon (Calmon)"")";"Primeiro Acerto do GPS"
"47";"25/08/2023 08:34";"=HYPERLINK(""http://maps.google.com/?q=-26,5982478,-51,1041738"",""Calmon (Calmon)"")";"Chave Ligada"
"48";"25/08/2023 08:34";"=HYPERLINK(""http://maps.google.com/?q=-26,5982478,-51,1041736"",""Calmon (Calmon)"")";"Arranque do Motor"
"49";"25/08/2023 08:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5981004,-51,1040031"",""Calmon (Calmon)"")";"Paragem do Motor"
"50";"25/08/2023 08:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5981004,-51,1040031"",""Calmon (Calmon)"")";"Chave Desligada"
"51";"25/08/2023 08:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5980953,-51,1039995"",""Calmon (Calmon)"")";"Chave Ligada"
"52";"25/08/2023 08:47";"=HYPERLINK(""http://maps.google.com/?q=-26,5980951,-51,1039993"",""Calmon (Calmon)"")";"Chave Desligada"
"53";"25/08/2023 08:47";"=HYPERLINK(""http://maps.google.com/?q=-26,5980949,-51,1039993"",""Calmon (Calmon)"")";"Chave Ligada"
"54";"25/08/2023 08:47";"=HYPERLINK(""http://maps.google.com/?q=-26,5980949,-51,1039993"",""Calmon (Calmon)"")";"Arranque do Motor"
"55";"25/08/2023 08:47";"=HYPERLINK(""http://maps.google.com/?q=-26,5980169,-51,1033786"",""Calmon (Calmon)"")";"Em andamento"
"56";"25/08/2023 08:50";"=HYPERLINK(""http://maps.google.com/?q=-26,600124,-51,0979458"",""Calmon (Calmon)"")";"Paragem do Motor"
"57";"25/08/2023 08:50";"=HYPERLINK(""http://maps.google.com/?q=-26,600124,-51,0979458"",""Calmon (Calmon)"")";"Chave Desligada"
"58";"25/08/2023 08:51";"=HYPERLINK(""http://maps.google.com/?q=-26,6001231,-51,0979521"",""Calmon (Calmon)"")";"Chave Ligada"
"59";"25/08/2023 08:51";"=HYPERLINK(""http://maps.google.com/?q=-26,6001228,-51,0979523"",""Calmon (Calmon)"")";"Arranque do Motor"
"60";"25/08/2023 08:52";"=HYPERLINK(""http://maps.google.com/?q=-26,6001523,-51,0979299"",""Calmon (Calmon)"")";"Parado"
"61";"25/08/2023 08:52";"=HYPERLINK(""http://maps.google.com/?q=-26,6001523,-51,0979299"",""Calmon (Calmon)"")";"Em andamento"
"62";"25/08/2023 08:52";"=HYPERLINK(""http://maps.google.com/?q=-26,6002195,-51,0978563"",""Calmon (Calmon)"")";"Em andamento"
"63";"25/08/2023 08:54";"=HYPERLINK(""http://maps.google.com/?q=-26,6031125,-51,1006993"",""Calmon (Calmon)"")";"Parado"
"64";"25/08/2023 08:54";"=HYPERLINK(""http://maps.google.com/?q=-26,603447,-51,1004563"",""Calmon (Calmon)"")";"Em andamento"
"65";"25/08/2023 08:57";"=HYPERLINK(""http://maps.google.com/?q=-26,6061741,-51,0993989"",""Calmon (Calmon)"")";"Paragem do Motor"
"66";"25/08/2023 08:57";"=HYPERLINK(""http://maps.google.com/?q=-26,6061741,-51,0993989"",""Calmon (Calmon)"")";"Chave Desligada"
"67";"25/08/2023 08:58";"=HYPERLINK(""http://maps.google.com/?q=-26,6061665,-51,0993931"",""Calmon (Calmon)"")";"Parado"
"68";"25/08/2023 09:00";"=HYPERLINK(""http://maps.google.com/?q=-26,6061453,-51,0993913"",""Calmon (Calmon)"")";"Chave Ligada"
"69";"25/08/2023 09:00";"=HYPERLINK(""http://maps.google.com/?q=-26,6061455,-51,0993906"",""Calmon (Calmon)"")";"Arranque do Motor"
